Well,Cycle,BLUE,GREEN,YELLOW,RED
A7,5,93700,36589,16377,6141
A8,5,80619,31846,14450,5456
A9,5,79426,31422,14167,5397
A10,5,88639,34991,15675,5900
A11,5,80850,32077,14324,5243
A12,5,88886,35152,15425,5457
B1,5,33516,13637,6829,3338
B2,5,36334,14852,7524,3748
B3,5,78653,30799,13761,5107
B4,5,88234,34626,15801,6242
B5,5,86404,34087,15599,6084
B6,5,84413,33265,15018,5661
B7,5,96638,38179,17302,6584
B8,5,92113,36438,16462,6298
B9,5,82851,33507,15227,5784
B10,5,96304,38128,17112,6430
B11,5,79354,31669,14199,5285
B12,5,110257,43620,19792,8289
C1,5,39678,15970,7902,3792
C2,5,35807,14240,6819,3049
C3,5,87174,34140,15385,5875
C4,5,92187,36227,16216,5852
C5,5,93127,36295,16328,6208
C6,5,98202,38348,17244,6524
C7,5,93563,36320,16074,5883
C8,5,86225,34122,15544,5981
C9,5,89124,35314,15990,6039
C10,5,82525,32684,14726,5449
C11,5,92051,36415,16491,6346
C12,5,104914,41848,18975,7191
D1,5,39496,16013,7973,3940
D2,5,41187,16657,8208,3892
D3,5,90858,35933,16558,6702
D4,5,89757,35341,16091,6282
D5,5,99309,38898,17627,6779
D6,5,98205,38840,17818,7036
D7,5,90786,35827,16410,6407
D8,5,89046,35146,15972,6196
D9,5,91751,36390,16530,6375
D10,5,90170,35519,15826,5883
D11,5,89568,35704,16252,6541
D12,5,104470,41870,18860,6954
E1,5,37410,15058,7309,3359
E2,5,42026,17067,8450,3992
E3,5,93101,36679,16621,6346
E4,5,93567,36609,16496,6303
E5,5,97244,38366,17468,6829
E6,5,95337,37611,17139,6656
E7,5,97789,38166,17167,6507
E8,5,100360,39150,17454,6483
E9,5,86639,34610,15625,5795
E10,5,90858,35953,16205,6145
E11,5,87369,34732,15694,5971
E12,5,107601,42809,19294,7264
F1,5,37744,15434,7728,3741
F2,5,37065,14917,7276,3334
F3,5,83670,33005,14980,5807
F4,5,84760,33603,15373,6025
F5,5,89488,35360,16073,6140
F6,5,96723,37976,17093,6468
F7,5,93216,36514,16397,6163
F8,5,95356,37362,16764,6293
F9,5,97134,38136,16929,6115
F10,5,92770,36746,16526,6253
F11,5,82700,32866,14820,5635
F12,5,110484,43853,19638,7250
G1,5,40078,16149,7779,3486
G2,5,42352,17088,8311,3763
G3,5,81573,32546,14935,5804
G4,5,90110,35846,16564,6718
G5,5,91054,36111,16439,6294
G6,5,84918,33849,15684,6228
G7,5,90808,35747,16092,6063
G8,5,88700,34761,15644,5992
G9,5,90372,35746,16037,5922
G10,5,91583,36275,16341,6120
G11,5,94309,37378,16685,6145
G12,5,118834,48504,23181,9946
H1,5,44045,17871,8655,3926
H2,5,47951,19413,9383,4204
H3,5,104467,43609,21226,9442
H4,5,96292,39087,18058,7096
H5,5,97692,39284,17912,6723
H6,5,102817,41430,18735,7095
H7,5,102727,42505,20573,8703
H8,5,97549,38682,17327,6345
H9,5,96775,39225,17896,6725
